source_id,layer,path_or_endpoint,producer,consumer_v1,consumer_v2,primary_key,timestamp_field,timezone_semantics,freshness_expectation,required_for_official_pdf,notes_pt
executor_live_jsonl,execution_log,logs/executor_live.jsonl,executor/bridge live,ops.daily_full_report KPIs+ROIw+fast,ops.daily_v2.universes,order_id,created_at / result.created_at,UTC wall clock on events; report day folder is generation UTC,mtime within hours for ops health,yes,Fonte canónica LIVE_OK/CAP_BLOCKED/pre_submit_ms/call_to_done_ms; heartbeats devem ser excluídos em V2
betslip_audit_db,database,betslip_audit_results (+ matches),auditoria DB,daily conversão OK/OK_valid 24h,não primário V2 Phase2R,audit_id / match_id,audit timestamps,UTC tipicamente,DB availability,partial,Usado em throughput/conversão; não é ledger de P&L
accounting_balance_csv,accounting_ledger,logs/accounting/*__balance.csv,accounting_monitor / accounting-daily,ROIw join + pnl series + reconcile,daily_v2.performance pnl map,order_id,post date / tx timestamp,post date UTC para séries; pnl_today em America/Sao_Paulo,CSV latest por mtime,yes,Depósitos/withdrawals devem ser excluídos do mapa P&L por oid
accounting_open_stakes_csv,accounting_open,logs/accounting/*__open_stakes.csv,accounting_monitor,n_abertas / ROIw_liquidado / settle split,daily_v2 open_oids,order_id,snapshot as-of,as-of snapshot UTC mtime,36h stale gate V2,yes_for_settled_split,Sem open_stakes → blocos liquidados ficam —
accounting_health_json,health,logs/accounting/accounting_health.json,accounting health checker,secção Accounting Health H3BUP,source_manifest accounting_health,n/a,checked_at_utc,UTC,2–6h watch/stale,yes_for_section,Status HEALTHY/WATCH/STALE/FAILED; stale → ROI UNAVAILABLE_STALE em V2
h3bup_accounting_summary_json,reconcile_summary,logs/h3bup_accounting_summary_latest.json,h3bup_accounting_reconcile,render health table ROI settled,opcional V2,order_id cohort,cutoff reconcile,UTC cutoff,paired with health,recommended,Contém roi_settled fraction; open excluído
accounting_daily_report_json,accounting_kpi,logs/daily_reports/{day}/accounting_daily_report.json + logs/accounting_daily_report.json,ops.accounting_daily_report,s0 pnl_today/week/month,manifest accounting_daily_report,n/a,today in REPORT_TZ,America/Sao_Paulo civil day for pnl_today,same-day,yes,Mistura TZ vs dia UTC do relatório
e2e_trace_jsonl,latency_trace,logs/h3bup_e2e_trace.jsonl,h3bup_e2e_trace instrumentation,secção E2E daily patch,daily_v2.latency,trace_id,event_ts,UTC,1–6h,soft,schema_version=1; n=0 → INSUFFICIENT_N V2
clv_health_json,clv_health,logs/h3bup_clv_health.json,clv worker/passive,secção CLV Forward,daily_v2.clv,n/a,collection_started_at_utc,UTC,1–6h,soft,Fair edge NÃO implementado — status NOT_IMPLEMENTED em V2
clv_obligations_jsonl,clv_data,logs/h3bup_clv_obligations.jsonl,clv register/worker,indirect via health,manifest clv_obligations,obligation_id / order_id,due windows POST_5M/15M/CLOSING,UTC forward-only,1–6h,no_for_v1_table,V1 daily mostra counts do health JSON
wf_policy_day_json,policy_snapshot,logs/wf_policy_YYYYMMDD.json (+ HHMMSS reruns),OOS subprocess daily,policy publish path,manifest policy_current,policy keys,generation day UTC,UTC day stamp,7d,partial,Não confundir com filtro H3BUP_vNext no ROIw
wf_policy_current_json,policy_live_pointer,logs/wf_policy_current.json,daily publish guard,compat bridge,daily_v2 risk/policy fingerprint future,n/a,mtime,UTC,7d,partial,Guards DAILY_WF_COMPAT_*
oos_b808_subprocess,analysis_job,analyze_contexto_operacao_b808_robust_report (+ exports),daily_full_report subprocess,anexos OOS / bank sensitivity,não,n/a,lookback_days,UTC windows,run-local,partial,SKIP via DAILY_SKIP_OOS
bridge_risk_params_json,risk_config,logs/bridge_risk_params.json,bridge ops,contexto capacidade,manifest risk_params,n/a,mtime,UTC,7d,no,Referência configuração
telegram_api,publication,api.telegram.org sendDocument,daily_full_report,_telegram_send_document,não (PUBLISH=0),n/a,send time,UTC caption day,n/a,yes_for_official_publish,Canal oficial PDF V1
systemd_timer_full,scheduler,betinasia-daily-full-report.timer,systemd,triggers service,n/a,n/a,OnCalendar 22:00 UTC,UTC calendar Persistent RandomizedDelaySec=180,n/a,yes,19:00 BRT
systemd_service_full,scheduler,betinasia-daily-full-report.service,systemd,ExecStart python -m ops.daily_full_report,n/a,n/a,n/a,n/a,n/a,yes,EnvironmentFile .env típico
systemd_timer_accounting,scheduler,betinasia-accounting-daily.timer,systemd,accounting daily separado,n/a,n/a,OnCalendar ~22:00 UTC,UTC,n/a,adjacent,Não confundir com full report
daily_dt_report,other_product,betinasia-daily-dt-report,DT pipeline,NÃO misturar,NÃO,n/a,n/a,n/a,n/a,no,Perímetro DT ≠ H3BUP
daily_v2_shadow_out,v2_artifacts,logs/daily_v2/h3bup_daily_*,ops.daily_v2,compare only,self,run_id,report_cutoff_utc,UTC half-open day,atomic+LKG,no_official,Shadow; PUBLISH=0
